longitude,latitude,du_id
-69.536033350455,-35.1130684720177,1000049
-69.5373841957861,-35.1150454709691,1000058
-69.5345954628793,-35.114985892414,1000059
-69.5319302449033,-35.1150133169341,1000060
-69.5360225054895,-35.1169524414288,1000069
-69.5332791242563,-35.1168990724978,1000070
-69.5346162577441,-35.1189179320321,1000083
-69.5319353027759,-35.1189782289738,1000084
-69.5325316717018,-35.1130662901906,1000144
-69.5304707165666,-35.1161357787768,1000151
,,
93.9471739633334,40.9906802983335,2000001
93.9625876383323,40.9881719374998,2000004
93.94189,40.98383,2000005
93.952244677499,40.9845585266658,2000006
93.9622617491668,40.9831107283334,2000007
93.94732,40.98151,2000008
93.9570995199992,40.9813514024997,2000009
93.9468902508328,40.9768258650005,2000010
93.9522280708325,40.9750852941661,2000011
93.9578905850003,40.9769064074997,2000012
93.94213,40.98834,2000013
,,
93.9697235083339,40.9507152100003,2000101
93.9663429016662,40.9462147758328,2000102
93.9732456708345,40.9461995500002,2000103
,,
93.9663256641662,40.9551758291666,2000105
93.9766806766668,40.9507778766662,2000106
93.96291647,40.9506869,2000107
93.9594613216662,40.9461966566668,2000108
93.9800607749985,40.946214685834,2000109
93.9800483383336,40.9552120625001,2000110
93.9594738075001,40.9551891416665,2000111
93.96977396,40.94168238,2000112
93.9697435216671,40.9597243125007,2000113
93.9834622599988,40.9507109450004,2000114
93.9560515816663,40.9506863658326,2000115
93.9628936641659,40.9417266366659,2000116
93.97663052,40.94168218,2000117
,,
93.9629207550008,40.9596859458337,2000119
93.9560319041676,40.941696675833,2000120
93.9834742491663,40.9417325783332,2000121
93.9835002808323,40.9597136566665,2000122
93.9560863866666,40.9597001774997,2000123
93.96634591,40.93717997,2000124
93.9732022233318,40.9371666325006,2000125
,,
93.96634451,40.96419411,2000127
93.9525643908337,40.9462337275,2000128
,,
93.98691766,40.95518819,2000130
93.952641046666,40.9551845949995,2000131
93.9594765883335,40.9372515608327,2000132
93.9800343491661,40.9372113608336,2000133
,,
93.9595080924981,40.9641965183331,2000135
,,
93.9491613741663,40.9507402708331,2000137
,,
,,
93.9492226316672,40.9416952858327,2000140
93.9903644066675,40.9417080966668,2000141
93.99034804,40.95968998,2000142
93.949200967499,40.9596100274999,2000143
93.9457612958339,40.9462372458332,2000144
93.9937108424998,40.9462577149999,2000145
,,
,,
,,
,,
,,
,,
,,
93.9869122891667,40.9372295400003,2000153
