longitude,latitude,du_id,long_a,lat_a,type,rank
93.91833705,40.96418269,31305,93.918,40.964,s,14
94.02121086,40.96418269,31315,94.021,40.964,s,14
94.04178633,40.96417168,31317,94.042,40.964,s,14
94.0623606,40.964157,31319,94.062,40.964,s,14
94.08293605,40.96413864,31321,94.083,40.964,s,14
94.1035103,40.96411662,31323,94.104,40.964,s,14
93.88748004,40.95966245,31402,93.887,40.96,s,15
93.90805292,40.9596753,31404,93.908,40.96,s,15
93.92862699,40.95968447,31406,93.929,40.96,s,15
94.01092092,40.95968447,31414,94.011,40.96,s,15
94.031495,40.9596753,31416,94.031,40.96,s,15
94.05206787,40.95966245,31418,94.052,40.96,s,15
94.07264193,40.95964593,31420,94.073,40.96,s,15
94.09321479,40.95962574,31422,94.093,40.96,s,15
94.11378882,40.95960189,31424,94.114,40.96,s,15
93.89777137,40.95516698,31503,93.898,40.955,s,16
93.91834404,40.95517799,31505,93.918,40.955,s,16
94.02120387,40.95517799,31515,94.021,40.955,s,16
94.04177654,40.95516698,31517,94.042,40.955,s,16
94.06234802,40.9551523,31519,94.062,40.955,s,16
94.08292067,40.95513395,31521,94.083,40.955,s,16
94.10349213,40.95511193,31523,94.103,40.955,s,16
94.12406475,40.95508624,31525,94.124,40.955,s,16
93.88749122,40.95065775,31602,93.887,40.951,s,17
93.9080613,40.95067059,31604,93.908,40.951,s,17
93.92863258,40.95067977,31606,93.929,40.951,s,17
94.01091533,40.95067977,31614,94.011,40.951,s,17
94.03148661,40.95067059,31616,94.031,40.951,s,17
94.05205669,40.95065775,31618,94.052,40.951,s,17
94.07262795,40.95064123,31620,94.073,40.951,s,17
94.09319802,40.95062105,31622,94.093,40.951,s,17
94.11376925,40.95059719,31624,94.114,40.951,s,17
93.87721247,40.94614759,31701,93.877,40.946,s,18
93.89778115,40.94616227,31703,93.898,40.946,s,18
93.91835103,40.94617328,31705,93.918,40.946,s,18
94.02119689,40.94617328,31715,94.021,40.946,s,18
94.04176676,40.94616227,31717,94.042,40.946,s,18
94.06233544,40.94614759,31719,94.062,40.946,s,18
94.0829053,40.94612925,31721,94.083,40.946,s,18
94.10347396,40.94610723,31723,94.103,40.946,s,18
94.12404379,40.94608154,31725,94.124,40.946,s,18
93.8875024,40.94165303,31802,93.888,40.942,s,19
93.90806969,40.94166587,31804,93.908,40.942,s,19
93.92863817,40.94167505,31806,93.929,40.942,s,19
94.01090975,40.94167505,31814,94.011,40.942,s,19
94.03147823,40.94166587,31816,94.031,40.942,s,19
94.05204552,40.94165303,31818,94.052,40.942,s,19
94.07261398,40.94163652,31820,94.073,40.942,s,19
94.09318125,40.94161634,31822,94.093,40.942,s,19
94.11374969,40.94159249,31824,94.114,40.942,s,19
93.89779093,40.93715755,31903,93.898,40.937,s,20
93.91835801,40.93716855,31905,93.918,40.937,s,20
94.0211899,40.93716855,31915,94.021,40.937,s,20
